"id","年份","日期","标题","发文机关","文件类型","当前司局","当前处室","关键词","官方链接","审核状态","建议司局","建议处室"
"doc-001","2026","2026-06","《国家卫生健康委办公厅关于进一步健全城市社区卫生服务体系 提升服务能力的通知》","国家卫生健康委员会","通知","卫健委-基层卫生健康司","运行评价处","国卫办基层发〔2026〕7号 卫生、体育 国务院部门文件","https://www.gov.cn/zhengce/zhengceku/202606/content_7071263.htm","待审核","",""
"doc-002","2026","2026-05","《关于印发家庭病床服务指南（试行）的通知》","国家中医药管理局,国家卫生健康委员会","通知","卫健委-基层卫生健康司","家庭医生处","国卫基层发〔2026〕15号 卫生、体育 国务院部门文件","https://www.gov.cn/zhengce/zhengceku/202605/content_7068890.htm","待审核","",""
"doc-003","2026","2026-05","《国家卫生健康委关于印发全国生育友好城市、生育友好单位创建管理办法的通知》","国家卫生健康委员会","通知","卫健委-人口家庭司","政策协调处","国卫人口发〔2026〕11号 卫生、体育 国务院部门文件","https://www.gov.cn/zhengce/zhengceku/202605/content_7068783.htm","待审核","",""
"doc-004","2026","2026-04","《国家中医药局 国家卫生健康委关于印发《医院中药饮片管理规范（2026版）》的通知》","国家中医药管理局,国家卫生健康委员会","通知","卫健委-医政司","医疗机构处","国中医药医政发〔2026〕3号 卫生、体育 国务院部门文件","https://www.gov.cn/zhengce/zhengceku/202604/content_7066059.htm","待审核","",""
"doc-005","2026","2026-04","《关于开展基层医疗卫生机构医疗质量改善三年行动（2026—2028年）的通知》","国家中医药管理局,国家卫生健康委员会","通知","卫健委-基层卫生健康司","运行评价处","国卫办基层发〔2026〕4号 卫生、体育 国务院部门文件","https://www.gov.cn/zhengce/zhengceku/202604/content_7064456.htm","待审核","",""
"doc-006","2026","2026-03","《国家中医药管理局关于印发《三级中医医院评审标准（2026年版）》的通知》","国家中医药管理局","通知","卫健委-医政司","医疗管理处","国中医药医政函〔2026〕39号 卫生、体育 国务院部门文件","https://www.gov.cn/zhengce/zhengceku/202603/content_7064072.htm","待审核","",""
"doc-007","2026","2026-03","《关于印发乡镇卫生院 社区卫生服务中心中医药服务管理基本规范的通知》","国家中医药管理局","通知","卫健委-基层卫生健康司","运行评价处","国中医药医政发〔2026〕2号 卫生、体育 国务院部门文件","https://www.gov.cn/zhengce/zhengceku/202603/content_7063623.htm","待审核","",""
"doc-008","2026","2026-03","《人力资源社会保障部 工业和信息化部 财政部 住房城乡建设部 交通运输部 国家卫生健康委 应急管理部 市场监管总局 中华全国总工会关于印发工伤预防五年行动计划（2026—2030年）的通知》","人力资源和社会保障部","通知","卫健委-规划发展与信息化司","信息统计处","人社部发〔2026〕20号 劳动、人事、监察 国务院部门文件","https://www.gov.cn/zhengce/zhengceku/202603/content_7062918.htm","待审核","",""
"doc-009","2026","2026-02","《关于“十五五”期间支持科技创新进口税收优惠政策管理办法的通知》","国家发展和改革委员会,教育部,科学技术部,财政部,工业和信息化部,民政部,商务部,文化和旅游部,国家卫生健康委员会,海关总署,国家税务总局","通知","卫健委-科技教育司","项目一处","财关税〔2026〕8号 财政、金融、审计 国务院部门文件","https://www.gov.cn/zhengce/zhengceku/202602/content_7058006.htm","待审核","",""
"doc-010","2026","2026-02","《关于印发国家基本药物目录管理办法的通知》","国家发展和改革委员会,工业和信息化部,商务部,国家医疗保障局,财政部,国家疾病预防控制局,国家中医药管理局,国家卫生健康委员会,国家药品监督管理局,国家市场监督管理总局","通知","中医药局-医政管理","中医药服务处","国卫药政发〔2026〕2号 卫生、体育 国务院部门文件","https://www.gov.cn/zhengce/zhengceku/202602/content_7057794.htm","待审核","",""
"doc-011","2026","2026-02","《工业和信息化部等八部门关于印发《中药工业高质量发展实施方案（2026—2030年）》的通知》","国家民族事务委员会,工业和信息化部,农业农村部,国务院国有资产监督管理委员会,国家卫生健康委员会,国家金融监督管理总局,国家药品监督管理局,国家中医药管理局","通知","中医药局-医政管理","中药管理处","工信部联消费〔2026〕33号 工业、交通 国务院部门文件","https://www.gov.cn/zhengce/zhengceku/202602/content_7057174.htm","待审核","",""
"doc-012","2026","2026-01","《人力资源社会保障部等11部门关于开展2026年“春暖农民工”服务行动的通知》","人力资源和社会保障部,公安部,民政部,司法部,交通运输部,农业农村部,文化和旅游部,国家卫生健康委员会","通知","卫健委-规划发展与信息化司","综合处","劳动、人事、监察 国务院部门文件","https://www.gov.cn/zhengce/zhengceku/202601/content_7056044.htm","待审核","",""
"doc-013","2026","2026-01","《中国气象局 民政部 文化和旅游部 国家医疗保障局 国家林业和草原局 国家中医药管理局 国家疾病预防控制局关于加强协同联动 推进康养气象服务高质量发展的指导意见》","中国气象局,民政部,文化和旅游部,国家医疗保障局,国家林业和草原局,国家中医药管理局,国家疾病预防控制局","意见","中医药局-医政管理","中医药服务处","气发〔2025〕101号 城乡建设、环境保护 国务院部门文件","https://www.gov.cn/zhengce/zhengceku/202601/content_7054707.htm","待审核","",""
"doc-014","2026","2026-01","《关于印发第四批鼓励仿制药品目录的通知》","工业和信息化部,国家卫生健康委员会,国家知识产权局,国家药品监督管理局","通知","医保局-医药服务管理司","医保目录处","国卫办药政函〔2025〕483号 卫生、体育 国务院部门文件","https://www.gov.cn/zhengce/zhengceku/202601/content_7053823.htm","待审核","",""
"doc-015","2025","2025-12","《关于印发儿童青少年“五健”促进行动计划（2026—2030年）的通知》","国家发展和改革委员会,国家疾病预防控制局,国家体育总局,国家中医药管理局,国家互联网信息办公室,财政部,教育部,国家卫生健康委员会,国家广播电视总局","通知","卫健委-妇幼健康司","妇女卫生处","国卫妇幼发〔2025〕21号 卫生、体育 国务院部门文件","https://www.gov.cn/zhengce/zhengceku/202512/content_7053270.htm","待审核","",""
