"优先级","评分","id","年份","日期","文号","标题","发文机关","当前司局","当前处室","官方链接","复核状态","建议司局","建议处室","复核说明"
"1","96","doc-001","2026","2026-06","国卫办基层发〔2026〕7号","《国家卫生健康委办公厅关于进一步健全城市社区卫生服务体系 提升服务能力的通知》","国家卫生健康委员会","卫健委-基层卫生健康司","运行评价处","https://www.gov.cn/zhengce/zhengceku/202606/content_7071263.htm","待复核","","",""
"2","96","doc-005","2026","2026-04","国卫办基层发〔2026〕4号","《关于开展基层医疗卫生机构医疗质量改善三年行动（2026—2028年）的通知》","国家中医药管理局,国家卫生健康委员会","卫健委-基层卫生健康司","运行评价处","https://www.gov.cn/zhengce/zhengceku/202604/content_7064456.htm","待复核","","",""
"3","92","doc-015","2025","2025-12","国卫妇幼发〔2025〕21号","《关于印发儿童青少年“五健”促进行动计划（2026—2030年）的通知》","国家发展和改革委员会,国家疾病预防控制局,国家体育总局,国家中医药管理局,国家互联网信息办公室,财政部,教育部,国家卫生健康委员会,国家广播电视总局","卫健委-妇幼健康司","妇女卫生处","https://www.gov.cn/zhengce/zhengceku/202512/content_7053270.htm","待复核","","",""
"4","92","doc-021","2025","2025-11","国卫办基层函〔2025〕439号","《国家卫生健康委办公厅关于印发基层慢性病健康管理服务能力建设指引的通知》","国家卫生健康委员会","卫健委-基层卫生健康司","运行评价处","https://www.gov.cn/zhengce/zhengceku/202511/content_7049144.htm","待复核","","",""
"5","92","doc-023","2025","2025-10","国疾控卫免发〔2025〕16号","《关于将人乳头瘤病毒疫苗纳入国家免疫规划有关工作事宜的通知》","国家药品监督管理局,教育部,工业和信息化部,财政部,国家卫生健康委员会,国家疾病预防控制局","疾控局-卫生与免疫规划司","免疫规划处","https://www.gov.cn/zhengce/zhengceku/202510/content_7046467.htm","待复核","","",""
"6","92","doc-024","2025","2025-10","国卫办老龄发〔2025〕29号","《关于开展医养结合促进行动的通知》","国家卫生健康委员会","卫健委-老龄健康司","医养结合处","https://www.gov.cn/zhengce/zhengceku/202510/content_7046353.htm","待复核","","",""
"7","92","doc-027","2025","2025-09","国卫办人口发〔2025〕24号","《关于印发育儿补贴制度管理规范（试行）的通知》","财政部,国家卫生健康委员会","卫健委-妇幼健康司","妇女卫生处","https://www.gov.cn/zhengce/zhengceku/202509/content_7041274.htm","待复核","","",""
"8","92","doc-031","2025","2025-08","国卫办基层发〔2025〕21号","《关于印发提升家庭医生签约服务感受度若干措施的通知》","国家卫生健康委员会,国家发展和改革委员会,人力资源和社会保障部,国家医疗保障局,国家中医药管理局,国家疾病预防控制局","卫健委-基层卫生健康司","家庭医生处","https://www.gov.cn/zhengce/zhengceku/202508/content_7037136.htm","待复核","","",""
"9","92","doc-036","2025","2025-08","国疾控卫免发〔2025〕10号","《关于印发《健康中国行动—健康环境促进行动实施方案（2025—2030年）》的通知》","国家疾病预防控制局","卫健委-规划发展与信息化司","信息统计处","https://www.gov.cn/zhengce/zhengceku/202508/content_7035320.htm","待复核","","",""
"10","92","doc-048","2025","2025-04","文号待核","《工业和信息化部等七部门关于印发《医药工业数智化转型实施方案（2025—2030年）》的通知》","商务部,国家中医药管理局,国家卫生健康委员会,国家医疗保障局,工业和信息化部,国家药品监督管理局,国家数据局","中医药局-医政管理","中医药服务处","https://www.gov.cn/zhengce/zhengceku/202504/content_7020857.htm","待复核","","",""
"11","88","doc-076","2024","2024-12","国疾控卫免发〔2024〕20号","《关于国家免疫规划百白破疫苗和白破疫苗免疫程序调整相关工作的通知》","国家疾病预防控制局,教育部,工业和信息化部,财政部,国家卫生健康委员会,国家药品监督管理局","疾控局-卫生与免疫规划司","免疫规划处","https://www.gov.cn/zhengce/zhengceku/202412/content_6994724.htm","待复核","","",""
"12","88","doc-082","2024","2024-12","国疾控传防发〔2024〕19号","《关于印发《全国结核病防治规划（2024—2030年）》的通知》","司法部,财政部,国家疾病预防控制局,国家卫生健康委员会,国家发展和改革委员会,教育部,公安部,国家医疗保障局,国家药品监督管理局","卫健委-医疗应急司","公共卫生医疗管理处","https://www.gov.cn/zhengce/zhengceku/202412/content_6991217.htm","待复核","","",""
"13","88","doc-092","2024","2024-11","文号待核","《教育部办公厅 国家卫生健康委办公厅 国家疾控局综合司关于切实抓牢幼儿园和小学近视防控关键阶段防控工作的通知》","教育部,国家卫生健康委员会,国家疾病预防控制局","卫健委-规划发展与信息化司","发展规划处","https://www.gov.cn/zhengce/zhengceku/202411/content_6986582.htm","待复核","","",""
"14","86","doc-007","2026","2026-03","国中医药医政发〔2026〕2号","《关于印发乡镇卫生院 社区卫生服务中心中医药服务管理基本规范的通知》","国家中医药管理局","卫健委-基层卫生健康司","运行评价处","https://www.gov.cn/zhengce/zhengceku/202603/content_7063623.htm","待复核","","",""
"15","84","doc-161","2023","2023-12","医保发〔2023〕29号","《国家医保局 财政部关于印发《长期护理保险失能等级评估管理办法（试行）》的通知》","国家医疗保障局,财政部","医保局-待遇保障司","长期护理保险处","https://www.gov.cn/zhengce/zhengceku/202312/content_6920626.htm","待复核","","",""
"16","84","doc-169","2023","2023-11","国卫医急发〔2023〕30号","《关于印发健康中国行动—癌症防治行动实施方案（2023—2030年）的通知》","科学技术部,民政部,生态环境部,农业农村部,国家金融监督管理总局,国家卫生健康委员会,教育部,财政部,国家中医药管理局,国家发展和改革委员会,国家疾病预防控制局,国家药品监督管理局,国家医疗保障局","中医药局-医政管理","中医药服务处","https://www.gov.cn/zhengce/zhengceku/202311/content_6915380.htm","待复核","","",""
"17","84","doc-170","2023","2023-11","国卫医急发〔2023〕31号","《关于印发健康中国行动—心脑血管疾病防治行动实施方案（2023—2030年）的通知》","国家卫生健康委员会,国家发展和改革委员会,教育部,科学技术部,工业和信息化部,民政部,财政部,国家市场监督管理总局,国家广播电视总局,国家体育总局,国家中医药管理局,国家疾病预防控制局","中医药局-医政管理","中医药服务处","https://www.gov.cn/zhengce/zhengceku/202311/content_6915365.htm","待复核","","",""
"18","84","doc-171","2023","2023-11","国卫办老龄发〔2023〕18号","《关于印发居家和社区医养结合服务指南（试行）的通知》","国家卫生健康委员会,国家中医药管理局,国家疾病预防控制局","卫健委-老龄健康司","医养结合处","https://www.gov.cn/zhengce/zhengceku/202311/content_6914596.htm","待复核","","",""
"19","84","doc-173","2023","2023-10","国卫办医政发〔2023〕13号","《国家卫生健康委办公厅关于印发患者安全专项行动方案（2023-2025年）的通知》","国家卫生健康委员会","卫健委-医政司","医疗管理处","https://www.gov.cn/zhengce/zhengceku/202310/content_6908044.htm","待复核","","",""
"20","84","doc-179","2023","2023-08","国卫办医政发〔2023〕10号","《国家卫生健康委办公厅关于印发手术质量安全提升行动方案（2023-2025年）的通知》","国家卫生健康委员会","卫健委-医政司","医疗管理处","https://www.gov.cn/zhengce/zhengceku/202308/content_6900753.htm","待复核","","",""
"21","84","doc-180","2023","2023-08","国卫办妇幼发〔2023〕9号","《国家卫生健康委办公厅关于印发出生缺陷防治能力提升计划（2023-2027年）的通知》","国家卫生健康委员会","卫健委-人口家庭司","政策协调处","https://www.gov.cn/zhengce/zhengceku/202308/content_6900320.htm","待复核","","",""
"22","80","doc-234","2022","2022-12","国卫办职健函〔2022〕441号","《国家卫生健康委办公厅关于进一步加强用人单位职业健康培训工作的通知》","国家卫生健康委员会","卫健委-职业健康司","职业病管理处","https://www.gov.cn/zhengce/zhengceku/2022-12/30/content_5734220.htm","待复核","","",""
"23","80","doc-235","2022","2022-12","国卫办医政发〔2022〕17号","《国家卫生健康委办公厅关于印发国家医学中心管理办法（试行）和国家区域医疗中心管理办法（试行）的通知》","国家卫生健康委员会","卫健委-医政司","医疗机构处","https://www.gov.cn/zhengce/zhengceku/2022-12/29/content_5734106.htm","待复核","","",""
"24","80","doc-243","2022","2022-12","国卫办人口函〔2022〕414号","《国家卫生健康委办公厅关于印发托育从业人员职业行为准则（试行）的通知》","国家卫生健康委员会","卫健委-人口家庭司","政策协调处","https://www.gov.cn/zhengce/zhengceku/2022-12/03/content_5730066.htm","待复核","","",""
